Hour;AC Production;DC to AC loss
0;0;0
1;0;0
2;0;0
3;0;0
4;0;0
5;0;0
6;0;0
7;0;0
8;0,013;0,001
9;0,233;0,026
10;0,428;0,048
11;0,619;0,069
12;0,853;0,095
13;0,735;0,082
14;0,513;0,057
15;0,269;0,030
16;0,013;0,001
17;0;0
18;0;0
19;0;0
20;0;0
21;0;0
22;0;0
23;0;0
24;0;0
25;0;0
26;0;0
27;0;0
28;0;0
29;0;0
30;0;0
31;0;0
32;0,035;0,004
33;0,703;0,078
34;1,487;0,165
35;2,237;0,249
36;2,486;0,276
37;2,402;0,267
38;1,403;0,156
39;0,634;0,070
40;0,020;0,002
41;0;0
42;0;0
43;0;0
44;0;0
45;0;0
46;0;0
47;0;0
48;0;0
49;0;0
50;0;0
51;0;0
52;0;0
53;0;0
54;0;0
55;0;0
56;0,036;0,004
57;0,838;0,093
58;1,994;0,222
59;2,916;0,324
60;3,338;0,371
61;3,362;0,374
62;2,804;0,312
63;1,782;0,198
64;0,076;0,008
65;0;0
66;0;0
67;0;0
68;0;0
69;0;0
70;0;0
71;0;0
72;0;0
73;0;0
74;0;0
75;0;0
76;0;0
77;0;0
78;0;0
79;0;0
80;0,036;0,004
81;0,718;0,080
82;1,530;0,170
83;2,233;0,248
84;2,669;0,297
85;2,357;0,262
86;2,693;0,299
87;1,547;0,172
88;0,110;0,012
89;0;0
90;0;0
91;0;0
92;0;0
93;0;0
94;0;0
95;0;0
96;0;0
97;0;0
98;0;0
99;0;0
100;0;0
101;0;0
102;0;0
103;0;0
104;0,044;0,005
105;0,775;0,086
106;1,760;0,196
107;2,766;0,307
108;2,983;0,331
109;2,487;0,276
110;2,210;0,246
111;1,391;0,155
112;0,076;0,008
113;0;0
114;0;0
115;0;0
116;0;0
117;0;0
118;0;0
119;0;0
120;0;0
121;0;0
122;0;0
123;0;0
124;0;0
125;0;0
126;0;0
127;0;0
128;0,013;0,001
129;0,655;0,073
130;1,384;0,154
131;2,059;0,229
132;2,212;0,246
133;1,968;0,219
134;1,392;0,155
135;0,558;0,062
136;0,020;0,002
137;0;0
138;0;0
139;0;0
140;0;0
141;0;0
142;0;0
143;0;0
144;0;0
145;0;0
146;0;0
147;0;0
148;0;0
149;0;0
150;0;0
151;0;0
152;0,036;0,004
153;0,891;0,099
154;2,119;0,235
155;3,069;0,341
156;3,572;0,397
157;3,520;0,391
158;2,935;0,326
159;1,911;0,212
160;0,092;0,010
161;0;0
162;0;0
163;0;0
164;0;0
165;0;0
166;0;0
167;0;0
168;0;0
169;0;0
170;0;0
171;0;0
172;0;0
173;0;0
174;0;0
175;0;0
176;0,013;0,001
177;0,163;0,018
178;0,367;0,041
179;0,434;0,048
180;0,491;0,055
181;0,482;0,054
182;0,367;0,041
183;0,199;0,022
184;0,020;0,002
185;0;0
186;0;0
187;0;0
188;0;0
189;0;0
190;0;0
191;0;0
192;0;0
193;0;0
194;0;0
195;0;0
196;0;0
197;0;0
198;0;0
199;0;0
200;0,044;0,005
201;0,699;0,078
202;1,633;0,181
203;2,077;0,231
204;2,321;0,258
205;1,992;0,221
206;1,165;0,129
207;0,716;0,080
208;0,027;0,003
209;0;0
210;0;0
211;0;0
212;0;0
213;0;0
214;0;0
215;0;0
216;0;0
217;0;0
218;0;0
219;0;0
220;0;0
221;0;0
222;0;0
223;0;0
224;0,013;0,001
225;0,287;0,032
226;0,530;0,059
227;0,801;0,089
228;0,902;0,100
229;0,882;0,098
230;0,620;0,069
231;0,471;0,052
232;0,061;0,007
233;0;0
234;0;0
235;0;0
236;0;0
237;0;0
238;0;0
239;0;0
240;0;0
241;0;0
242;0;0
243;0;0
244;0;0
245;0;0
246;0;0
247;0;0
248;0,013;0,001
249;0,402;0,045
250;0,747;0,083
251;1,716;0,191
252;1,901;0,211
253;3,599;0,400
254;2,908;0,323
255;2,275;0,253
256;0,110;0,012
257;0;0
258;0;0
259;0;0
260;0;0
261;0;0
262;0;0
263;0;0
264;0;0
265;0;0
266;0;0
267;0;0
268;0;0
269;0;0
270;0;0
271;0;0
272;0,013;0,001
273;0,326;0,036
274;0,642;0,071
275;0,855;0,095
276;0,958;0,106
277;0,907;0,101
278;0,703;0,078
279;0,405;0,045
280;0,044;0,005
281;0;0
282;0;0
283;0;0
284;0;0
285;0;0
286;0;0
287;0;0
288;0;0
289;0;0
290;0;0
291;0;0
292;0;0
293;0;0
294;0;0
295;0;0
296;0,006;0,001
297;0,352;0,039
298;0,643;0,071
299;0,791;0,088
300;0,921;0,102
301;0,879;0,098
302;0,561;0,062
303;0,330;0,037
304;0,028;0,003
305;0;0
306;0;0
307;0;0
308;0;0
309;0;0
310;0;0
311;0;0
312;0;0
313;0;0
314;0;0
315;0;0
316;0;0
317;0;0
318;0;0
319;0;0
320;0,013;0,001
321;0,301;0,033
322;1,013;0,113
323;0,922;0,102
324;0,673;0,075
325;2,505;0,278
326;2,609;0,290
327;2,214;0,246
328;0,289;0,032
329;0;0
330;0;0
331;0;0
332;0;0
333;0;0
334;0;0
335;0;0
336;0;0
337;0;0
338;0;0
339;0;0
340;0;0
341;0;0
342;0;0
343;0;0
344;0,036;0,004
345;0,302;0,034
346;0,191;0,021
347;0,340;0,038
348;1,586;0,176
349;1,699;0,189
350;1,758;0,195
351;1,392;0,155
352;0,594;0,066
353;0;0
354;0;0
355;0;0
356;0;0
357;0;0
358;0;0
359;0;0
360;0;0
361;0;0
362;0;0
363;0;0
364;0;0
365;0;0
366;0;0
367;0;0
368;0,119;0,013
369;0,826;0,092
370;1,657;0,184
371;3,209;0,357
372;2,726;0,303
373;2,164;0,240
374;0,406;0,045
375;0,143;0,016
376;0,043;0,005
377;0;0
378;0;0
379;0;0
380;0;0
381;0;0
382;0;0
383;0;0
384;0;0
385;0;0
386;0;0
387;0;0
388;0;0
389;0;0
390;0;0
391;0;0
392;0,067;0,007
393;0,909;0,101
394;2,005;0,223
395;2,315;0,257
396;2,620;0,291
397;2,619;0,291
398;2,560;0,284
399;1,911;0,212
400;0,601;0,067
401;0;0
402;0;0
403;0;0
404;0;0
405;0;0
406;0;0
407;0;0
408;0;0
409;0;0
410;0;0
411;0;0
412;0;0
413;0;0
414;0;0
415;0;0
416;0,035;0,004
417;0,614;0,068
418;1,279;0,142
419;2,134;0,237
420;2,445;0,272
421;2,599;0,289
422;2,254;0,250
423;2,185;0,243
424;1,080;0,120
425;0;0
426;0;0
427;0;0
428;0;0
429;0;0
430;0;0
431;0;0
432;0;0
433;0;0
434;0;0
435;0;0
436;0;0
437;0;0
438;0;0
439;0;0
440;0,027;0,003
441;0,360;0,040
442;0,751;0,083
443;1,064;0,118
444;1,326;0,147
445;0,874;0,097
446;0,690;0,077
447;0,303;0,034
448;0,058;0,006
449;0;0
450;0;0
451;0;0
452;0;0
453;0;0
454;0;0
455;0;0
