110350,Wien-Hohe_Warte,,1,48.250,16.367, 209
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,3.1,E,8,0.4,E,8,82,E,8,985,E,8,218,E,8,2.3,E,8,-9990,0,0,-9990,0,0,0.953,E,8,0.104,E,8,0.20,E,8,3,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,3.5,E,8,-0.1,E,8,77,E,8,985,E,8,252,E,8,1.8,E,8,-9990,0,0,-9990,0,0,0.924,E,8,0.104,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,3.3,E,8,-0.3,E,8,77,E,8,985,E,8,249,E,8,1.6,E,8,-9990,0,0,-9990,0,0,0.909,E,8,0.104,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,3.2,E,8,-2.4,E,8,66,E,8,985,E,8,265,E,8,1.9,E,8,-9990,0,0,-9990,0,0,0.782,E,8,0.104,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,3.1,E,8,-2.7,E,8,66,E,8,985,E,8,263,E,8,1.8,E,8,-9990,0,0,-9990,0,0,0.766,E,8,0.104,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,3.0,E,8,-2.4,E,8,67,E,8,985,E,8,252,E,8,2.2,E,8,-9990,0,0,-9990,0,0,0.782,E,8,0.104,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,2.9,E,8,-2.8,E,8,66,E,8,985,E,8,276,E,8,1.8,E,8,-9990,0,0,-9990,0,0,0.764,E,8,0.104,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,10,0,3,20,0,3,10,0,3,10,0,3,20,0,3,10,-9990,0,0,10,E,8,9,E,8,2.9,E,8,-3.1,E,8,64,E,8,985,E,8,237,E,8,2.4,E,8,-9990,0,0,-9990,0,0,0.745,E,8,0.104,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,121,1412,13,3,10,0,3,20,13,3,10,1602,3,10,0,3,20,1602,3,10,-9990,0,0,10,E,8,9,E,8,3.1,E,8,-2.9,E,8,65,E,8,985,E,8,259,E,8,2.2,E,8,-9990,0,0,-9990,0,0,0.758,E,8,0.104,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,279,1412,33,3,10,0,3,20,33,3,10,3954,3,10,0,3,20,3954,3,10,-9990,0,0,10,E,8,9,E,8,3.3,E,8,-2.7,E,8,65,E,8,985,E,8,298,E,8,3.8,E,8,-9990,0,0,-9990,0,0,0.768,E,8,0.104,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,11:00,390,1412,49,3,10,0,3,20,49,3,10,5828,3,10,0,3,20,5828,3,10,-9990,0,0,10,E,8,9,E,8,3.5,E,8,-3.8,E,8,59,E,8,985,E,8,185,E,8,3.1,E,8,-9990,0,0,-9990,0,0,0.713,E,8,0.104,E,8,0.20,E,8,0,-9990,0,0
